舰娘当前计分：
凯旋:1
马拉尼:3
文森斯:0
爱宕:4
莱比锡:9
神通:3
齐柏林伯爵:3
克利夫兰:28
沙恩霍斯特:0
埃克塞特:1
U47:0
============================================
楼层	用户id	评论内容
201	42377165	莱比锡  克利夫兰
202	40652404	莱比锡 克利夫兰 神通
203	42779237	爱宕，齐柏林，文森斯
204	5469342	单通 马尼拉
205	24245163	莱比锡  克利夫兰
206	14301472	神通 <br/>zsbd
207	41790556	克利夫兰<br/>马拉尼
208	39073122	文森斯<br/>埃克塞特<br/>克利夫兰
209	38299791	爱宕<br/>齐柏林伯爵<br/>凯旋
210	1129447	神通单推
211	42946315	神通 克利夫兰 埃克塞特
212	43300125	爱宕，克利夫兰
213	42120270	爱宕<br/>神通<br/>齐柏林
214	60024001	克爹 神通 780
215	1332151	爱宕 爱宕  爱宕  爱宕
216	42478580	莱比锡 神通 u47
217	60185826	爱宕 神通
218	40282660	u47 沙恩
219	41289643	齐柏林<br/>马拉尼<br/>神通
220	416754	爱宕，克利夫兰，马拉尼
221	13220090	克爹 莱比锡 齐柏林
222	42708440	克利夫兰 神通
223	60039413	爱宕！！！！
224	42612031	文森斯<br/>我爹[s:ac:哭笑]
225	8763544	爱宕 zsbd
226	38834312	爱宕<br/>凯旋<br/>神通
227	346789	爱宕<br/>莱比锡<br/>神通
228	43002311	!!!47冲鸭[s:ac:goodjob]<br/>神通<br/>克利夫兰
229	41466582	克爹 神通
230	41355539	克爹   爱宕[s:ac:哭笑]
231	38764185	克利夫兰，爱宕，U47
232	43111910	爱宕 齐柏林伯爵 神通
233	16007037	神通<br/><br/>齐柏林伯爵<br/><br/>克利夫兰<br/><br/>zsbd
234	1389104	神通 U47
236	43138726	神通！！！
237	60159007	凯旋 爱宕 克爹
238	42099119	爱宕<br/>克爹<br/>神通
239	41719041	莱比锡 神通 克里夫兰
240	60084122	单推爹！[s:ac:黑枪]
241	43333124	克利夫兰，u47
242	42755795	克利夫兰 爱宕 齐柏林
243	41429945	爱宕 神通 凯旋[s:ac:上]
244	11420099	爱宕，克利夫兰，神通
245	42635341	爱宕 齐柏林 克利夫兰
246	42215896	神通，莱比锡
247	42387645	神通，萊比錫，凱旋。
248	38456280	克利夫兰，爱宕，神通
249	40194521	齐柏林 克爹 神通
250	39402445	莱比锡 凯旋 沙恩霍斯特
251	37418247	莱比锡，克利夫兰，U47
252	38278809	克利夫兰！！！！[s:ac:喘]
253	39722942	爱宕 神通 齐柏林
255	42780427	爱宕，神通，克利夫兰
256	42166147	爱宕 克利夫兰 神通
257	14313236	爱宕，齐柏林伯爵，凯旋
258	43050772	爱宕，莱比锡
259	42445010	780 克利夫兰 马拉尼
260	25743442	爱宕 <br/>莱比锡<br/>神通
261	42601716	U47 文森斯 神通
262	42727247	爱宕   克利夫兰   神童
263	41617475	克利夫兰，神通，爱宕
264	41097691	爱宕我永远爱你zs
265	60080144	克利夫兰，神通，U47
266	14879155	爱宕，齐柏林，克爹
267	42942610	克爹 神通 莱比锡
268	42537491	克爹 zsbd
269	7690350	780  克爹  文森斯
270	39183445	爱宕 克利夫兰
271	38902652	爱宕 克爹 U47
272	42050806	克爹！zsbd
273	40531816	爱宕 凯旋 克利夫兰
274	38529339	爱宕 莱比锡 凯旋
276	60142958	克爹，文森斯
277	9449013	克利夫兰  U47  齐柏林伯爵
278	41827337	爱宕<br/>U47<br/>克利夫兰
279	42731314	U47 凯旋
280	42377904	神通 U47 莱比锡
281	179527	莱比锡<br/>神通 <br/>埃克塞特
282	23937807	莱比锡<br/>克利夫兰<br/>U47
283	554093	U47<br/>沙恩霍斯特<br/>凯旋
284	42476526	克利夫兰，神通，凯旋
285	42948421	爱宕 齐柏林 神通
286	43138934	爱宕<br/>齐柏林<br/>凯旋
287	38222784	爱宕 齐柏林 克爹[s:ac:goodjob][s:ac:goodjob][s:ac:goodjob]
288	39382436	老爹，鱼鱼
289	41662194	克利夫兰 u47  莱比锡
290	42339613	u47 齐柏林 莱比锡[s:ac:心][s:ac:心]
291	43036249	克利夫兰 神通 爱宕
292	6633121	爱宕<br/>克利夫兰<br/>U47
293	41828105	爱宕 克利夫兰
294	42709049	克爹[s:ac:上]
295	39794554	凯旋 神通 爱宕
296	5426622	神通<br/>u47<br/>埃克塞特
297	927301	爱大狗 克爹 神通
298	19451677	爱宕<br/>zsbd
299	38261720	克爹 大狗 u47
300	43212846	克利夫兰 爱宕 齐柏林[s:ac:闪光]
301	42096972	爱宕！克爹！
302	8809754	莱比锡<br/><br/>神通<br/><br/>克利夫兰
303	3496342	爱宕 凯旋 克利夫兰
305	42195522	克利夫兰！！！<br/>莱比锡！<br/>凯旋！！
306	23368313	爱宕<br/>克利夫兰<br/>U47
307	40878471	爱宕！！！
308	60076634	爱宕[s:ac:喘][s:ac:喘]
310	43280896	爱宕<br/>神通<br/>克利夫兰
311	42499220	齐柏林 爱宕
312	38719847	克利夫兰<br/>神通<br/>文森斯
313	43011234	神通 莱比锡 克爹
314	41612390	齐柏林！克利夫兰！文森斯！
315	41594056	爱宕，齐柏林伯爵,U47
316	42749559	神通 爱宕 莱比锡
317	35738632	爱宕 克利夫兰 莱比锡
318	41265264	凯旋 u47 神通
320	39459507	莱比锡，齐柏林伯爵
321	41554293	莱比锡 u47 克利夫兰
323	9225311	爱宕 克里夫兰 U47
324	39135574	克利夫兰，莱比锡，爱宕
325	42720689	齐柏林，爱宕，神通
326	43133431	埃克塞特，凯旋，爱宕
327	60152340	爹，埃克塞特，47
328	42244344	神通<br/>u47
329	37422170	爱宕 克利夫兰 神通
330	35746413	爱宕，780，u47
331	41672537	神通，克利夫兰，u47
332	14978489	齐柏林
333	60032831	齐柏林，莱比锡，爱宕
334	60239308	纠结。<br/>单爱宕吧。
335	10508649	U47[s:ac:上]
336	2509392	爱宕 780 凯旋
337	42675713	莱比锡，克利夫兰，马拉尼[s:ac:心]
338	42639816	克爹，犬，神通
339	20163402	爱宕  齐柏林伯爵
340	41607970	凯旋 神通 U47
341	41477885	克利夫兰，齐柏林，爱宕
342	42391701	克爹 神通
343	18798470	凯旋[s:ac:上]
345	34788161	神通，文森斯
347	79095	爱宕、齐柏林、神通
348	42889220	爱宕，齐柏林，克利夫兰
349	41123181	47,克爹，神通
351	7805360	爱宕  克利夫兰  齐柏林
352	40454750	克利夫兰  凯旋 U47
353	38684922	莱比锡，克利夫兰，神通
354	37477612	克利夫兰 爱宕 莱比锡
355	17951236	爱宕 神通 u47
356	42987866	爱宕，齐柏林，爹
357	7498563	齐柏林 克爹 神通
358	5419209	莱比锡<br/>神通
359	13470404	克爹 神通 U47
